label,intent,examples,correct,errors,correct_rate,lower_95,upper_95
relevant,Other,51,46,5,0.9019607843137255,0.7902176531891913,0.9573919268923814
irrelevant,OSS,57,53,4,0.9298245614035088,0.832998299039663,0.972373579770934
relevant,Feedback,34,32,2,0.9411764705882353,0.80906393095719,0.9837173447898772
irrelevant,Acknowledgment,208,200,8,0.9615384615384616,0.9259538387998538,0.9803843306446447
irrelevant,Greeting,46,46,0,1.0,0.9229264369144198,1.0
irrelevant,Spam,13,13,0,1.0,0.7719046276458016,1.0
relevant,Date,22,22,0,1.0,0.8513451253913791,1.0
irrelevant,Automated message,22,22,0,1.0,0.8513451253913791,1.0
relevant,Delivery confirmation,46,46,0,1.0,0.9229264369144198,1.0
relevant,Language change,70,70,0,1.0,0.9479769375897331,1.0
relevant,Medical,334,334,0,1.0,0.9886294037620382,1.0
