space,intent,examples,mean_agreement,mean_nearest_distance
A,Acknowledgment,208,0.7967948717948717,0.14522156
A,Automated message,22,0.9151515151515152,0.2856157
A,Date,22,0.9424242424242425,0.16902974
A,Delivery confirmation,46,0.7579710144927536,0.20780055
A,Feedback,34,0.6019607843137255,0.2449096
A,Greeting,46,0.763768115942029,0.13549732
A,Language change,70,0.9057142857142857,0.1238766
A,Medical,334,0.8720558882235528,0.26297572
A,OSS,57,0.49941520467836253,0.28672227
A,Other,51,0.4967320261437908,0.19785097
A,Spam,13,0.48205128205128206,0.4916628
B,Acknowledgment,208,0.8205128205128205,0.15683736
B,Automated message,22,0.8242424242424242,0.29765388
B,Date,22,0.9818181818181819,0.18556482
B,Delivery confirmation,46,0.8420289855072464,0.2264417
B,Feedback,34,0.6470588235294118,0.2522286
B,Greeting,46,0.8246376811594204,0.14099714
B,Language change,70,0.9447619047619048,0.14661936
B,Medical,334,0.9137724550898203,0.2576533
B,OSS,57,0.5099415204678363,0.30116737
B,Other,51,0.6039215686274509,0.22151677
B,Spam,13,0.4461538461538461,0.4869632
C,Acknowledgment,208,0.832051282051282,0.35098755
C,Automated message,22,0.8848484848484849,0.3640195
C,Date,22,1.0,0.29318345
C,Delivery confirmation,46,0.8260869565217391,0.41234782
C,Feedback,34,0.48235294117647054,0.46856388
C,Greeting,46,0.8202898550724638,0.32634944
C,Language change,70,0.9314285714285715,0.29777592
C,Medical,334,0.8736526946107784,0.49822477
C,OSS,57,0.5052631578947369,0.48399976
C,Other,51,0.5764705882352941,0.48336554
C,Spam,13,0.48205128205128206,0.6105624
