system,embedding,policy,evaluation,n,accuracy,macro_f1,precision,recall,specificity,tp,tn,fp,fn,medical_fn,medical_n,medical_recall,referral_fraction,referrals,score_available,note,roc_auc,average_precision
tuned_rf,tuned,default_0_5,outer_oof_aggregate,903,0.8704318936877077,0.8611048664765668,0.8793103448275862,0.9156193895870736,0.7976878612716763,510,276,70,47,7,334,0.9790419161676647,0.6423034330011074,580,True,Nested selected RF; pooled OOF scores are descriptive.,0.9453772791897137,0.9654071550306514
tuned_rf,tuned,balanced_macro_f1,outer_oof_aggregate,903,0.8682170542635659,0.860061076853956,0.8882978723404256,0.8994614003590664,0.8179190751445087,501,283,63,56,10,334,0.9700598802395209,0.6245847176079734,564,True,Nested selected RF; pooled OOF scores are descriptive.,0.9453772791897137,0.9654071550306514
tuned_rf,tuned,recall_first,outer_oof_aggregate,903,0.8482834994462901,0.8264944762268078,0.8153153153153153,0.9748653500897666,0.6445086705202312,543,223,123,14,0,334,1.0,0.7375415282392026,666,True,Nested selected RF; pooled OOF scores are descriptive.,0.9453772791897137,0.9654071550306514
tuned_lr,tuned,default_0_5,outer_oof_aggregate,903,0.8726467331118494,0.8634791422632921,0.8810344827586207,0.9174147217235189,0.8005780346820809,511,277,69,46,14,334,0.9580838323353293,0.6423034330011074,580,True,Recomputed from saved Version 1 outer predictions.,0.9366289266404458,0.9583791060293543
tuned_lr,tuned,balanced_macro_f1,outer_oof_aggregate,903,0.8660022148394242,0.8572160374683266,0.8824561403508772,0.9030520646319569,0.8063583815028902,503,279,67,54,18,334,0.9461077844311377,0.6312292358803987,570,True,Recomputed from saved Version 1 outer predictions.,0.9366289266404458,0.9583791060293543
tuned_lr,tuned,recall_first,outer_oof_aggregate,903,0.8394241417497231,0.813973940581343,0.8029411764705883,0.9802513464991023,0.6127167630057804,546,212,134,11,1,334,0.9970059880239521,0.7530454042081949,680,True,Recomputed from saved Version 1 outer predictions.,0.9366289266404458,0.9583791060293543
baseline_lr_a,a,default_0_5,outer_oof_aggregate,903,0.8538205980066446,0.8404952307544079,0.8500823723228995,0.926391382405745,0.7369942196531792,516,255,91,41,6,334,0.9820359281437125,0.6722037652270211,607,True,Recomputed from saved Version 1 outer predictions.,0.9262460954120444,0.9502019524592175
baseline_lr_b,b,default_0_5,outer_oof_aggregate,903,0.8737541528239202,0.8622458811060796,0.8649093904448105,0.9425493716337523,0.7630057803468208,525,264,82,32,4,334,0.9880239520958084,0.6722037652270211,607,True,Recomputed from saved Version 1 outer predictions.,0.943005987899669,0.9625039393746164
baseline_lr_c,c,default_0_5,outer_oof_aggregate,903,0.8560354374307863,0.8401082017586872,0.838351822503962,0.9497307001795332,0.7052023121387283,529,244,102,28,3,334,0.9910179640718563,0.698781838316722,631,True,Recomputed from saved Version 1 outer predictions.,0.9343977335228983,0.9556124300676192
llm_train,,frozen_label,outer_oof_aggregate,903,0.9789590254706534,0.9776820383139968,0.9786476868327402,0.9874326750448833,0.9653179190751445,550,334,12,7,0,334,1.0,0.6223698781838317,562,False,Recomputed from saved Version 1 outer predictions.,,
always_relevant,,always_relevant,outer_oof_aggregate,903,0.6168327796234773,0.3815068493150685,0.6168327796234773,1.0,0.0,557,0,346,0,0,334,1.0,1.0,903,False,Recomputed from saved Version 1 outer predictions.,,
