system,embedding,policy,evaluation,n,accuracy,macro_f1,precision,recall,specificity,tp,tn,fp,fn,medical_fn,medical_n,medical_recall,referral_fraction,referrals,score_available,note,roc_auc,average_precision,source_version
tuned_rf,tuned,default_0_5,outer_oof_aggregate,903,0.8704318936877077,0.8611048664765668,0.8793103448275862,0.9156193895870736,0.7976878612716763,510,276,70,47,7,334,0.9790419161676648,0.6423034330011074,580,True,Nested selected RF; pooled OOF scores are descriptive.,0.9453772791897136,0.9654071550306514,version2_imported_exact_id_contract
tuned_rf,tuned,balanced_macro_f1,outer_oof_aggregate,903,0.8682170542635659,0.860061076853956,0.8882978723404256,0.8994614003590664,0.8179190751445087,501,283,63,56,10,334,0.9700598802395208,0.6245847176079734,564,True,Nested selected RF; pooled OOF scores are descriptive.,0.9453772791897136,0.9654071550306514,version2_imported_exact_id_contract
tuned_rf,tuned,recall_first,outer_oof_aggregate,903,0.8482834994462901,0.8264944762268078,0.8153153153153153,0.9748653500897666,0.6445086705202312,543,223,123,14,0,334,1.0,0.7375415282392026,666,True,Nested selected RF; pooled OOF scores are descriptive.,0.9453772791897136,0.9654071550306514,version2_imported_exact_id_contract
tuned_lr,tuned,default_0_5,outer_oof_aggregate,903,0.8726467331118494,0.8634791422632921,0.8810344827586207,0.9174147217235188,0.8005780346820809,511,277,69,46,14,334,0.9580838323353292,0.6423034330011074,580,True,Recomputed from saved Version 1 outer predictions.,0.9366289266404458,0.9583791060293544,version2_imported_exact_id_contract
tuned_lr,tuned,balanced_macro_f1,outer_oof_aggregate,903,0.8660022148394242,0.8572160374683266,0.8824561403508772,0.9030520646319568,0.8063583815028902,503,279,67,54,18,334,0.9461077844311376,0.6312292358803987,570,True,Recomputed from saved Version 1 outer predictions.,0.9366289266404458,0.9583791060293544,version2_imported_exact_id_contract
tuned_lr,tuned,recall_first,outer_oof_aggregate,903,0.8394241417497231,0.813973940581343,0.8029411764705883,0.9802513464991024,0.6127167630057804,546,212,134,11,1,334,0.997005988023952,0.7530454042081949,680,True,Recomputed from saved Version 1 outer predictions.,0.9366289266404458,0.9583791060293544,version2_imported_exact_id_contract
baseline_lr_a,a,default_0_5,outer_oof_aggregate,903,0.8538205980066446,0.8404952307544079,0.8500823723228995,0.926391382405745,0.7369942196531792,516,255,91,41,6,334,0.9820359281437124,0.6722037652270211,607,True,Recomputed from saved Version 1 outer predictions.,0.9262460954120444,0.9502019524592176,version2_imported_exact_id_contract
baseline_lr_b,b,default_0_5,outer_oof_aggregate,903,0.8737541528239202,0.8622458811060796,0.8649093904448105,0.9425493716337524,0.7630057803468208,525,264,82,32,4,334,0.9880239520958084,0.6722037652270211,607,True,Recomputed from saved Version 1 outer predictions.,0.943005987899669,0.9625039393746164,version2_imported_exact_id_contract
baseline_lr_c,c,default_0_5,outer_oof_aggregate,903,0.8560354374307863,0.8401082017586872,0.838351822503962,0.9497307001795332,0.7052023121387283,529,244,102,28,3,334,0.9910179640718564,0.698781838316722,631,True,Recomputed from saved Version 1 outer predictions.,0.9343977335228985,0.9556124300676192,version2_imported_exact_id_contract
llm_train,,frozen_label,outer_oof_aggregate,903,0.9789590254706534,0.9776820383139968,0.9786476868327402,0.9874326750448832,0.9653179190751444,550,334,12,7,0,334,1.0,0.6223698781838317,562,False,Recomputed from saved Version 1 outer predictions.,,,version2_imported_exact_id_contract
always_relevant,,always_relevant,outer_oof_aggregate,903,0.6168327796234773,0.3815068493150685,0.6168327796234773,1.0,0.0,557,0,346,0,0,334,1.0,1.0,903,False,Recomputed from saved Version 1 outer predictions.,,,version2_imported_exact_id_contract
tuned_mlp,tuned,default_0_5,outer_oof_aggregate,903,0.8726467331118494,0.8644542339696525,0.8890845070422535,0.9066427289048474,0.8179190751445087,505,283,63,52,11,334,0.9670658682634731,0.6290143964562569,568,True,Nested grouped MLP; pooled outer OOF scores are descriptive.,0.9272527267255426,0.9464285261398361,version3
tuned_mlp,tuned,default_0_5,outer_fold_0,181,0.8729281767955801,0.8649472830494729,0.8859649122807017,0.9099099099099099,0.8142857142857143,101,57,13,10,2,72,0.9722222222222222,0.6298342541436464,114,True,Outer held-out fold.,0.9447876447876448,0.9641778763052122,version3
tuned_mlp,tuned,default_0_5,outer_fold_1,181,0.8674033149171271,0.8622526636225266,0.9230769230769231,0.8571428571428571,0.8840579710144928,96,61,8,16,2,54,0.9629629629629629,0.574585635359116,104,True,Outer held-out fold.,0.92675983436853,0.9521892635883016,version3
tuned_mlp,tuned,default_0_5,outer_fold_2,180,0.8833333333333333,0.8739957998599953,0.8813559322033898,0.9369369369369369,0.7971014492753623,104,55,14,7,1,71,0.9859154929577465,0.6555555555555556,118,True,Outer held-out fold.,0.9522130826478653,0.9679259104550281,version3
tuned_mlp,tuned,default_0_5,outer_fold_3,180,0.8888888888888888,0.8811253467177387,0.8956521739130435,0.9279279279279279,0.8260869565217391,103,57,12,8,1,71,0.9859154929577465,0.6388888888888888,115,True,Outer held-out fold.,0.9459459459459459,0.9633047703790105,version3
tuned_mlp,tuned,default_0_5,outer_fold_4,181,0.850828729281768,0.8395442755360015,0.8632478632478633,0.9017857142857143,0.7681159420289855,101,53,16,11,5,66,0.9242424242424242,0.6464088397790055,117,True,Outer held-out fold.,0.9258540372670807,0.9497586420866952,version3
