config_id,embedding,hidden_layer_sizes,alpha,learning_rate_init,max_iter,early_stopping,batch_size,tol,solver,activation,selection_scope,inner_average_precision_0,inner_average_precision_1,inner_average_precision_2,mean_inner_average_precision,inner_rows,runtime_seconds,inner_n_iter_0,inner_loss_0,inner_hit_max_iter_0,inner_convergence_warning_0,inner_n_iter_1,inner_loss_1,inner_hit_max_iter_1,inner_convergence_warning_1,inner_n_iter_2,inner_loss_2,inner_hit_max_iter_2,inner_convergence_warning_2
mlp_a_00,a,[32],0.01,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.9371665768491984,0.9496081563017769,0.9169708459321931,0.9345818596943894,722,1.3160101000030409,173,0.011332645588700821,False,False,194,0.010151764381263298,False,False,181,0.011487748698060575,False,False
mlp_a_01,a,[32],0.01,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.9378803794732141,0.9487704807576115,0.9170740502107011,0.9345749701471755,722,0.8868516000002273,119,0.009629303041118828,False,False,132,0.008862010166944628,False,False,128,0.009508871947523962,False,False
mlp_a_02,a,[32],1.0,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.9539371475950573,0.946067218214632,0.9167577647069349,0.938920710172208,722,1.7519851000033668,247,0.11812171754726894,False,False,225,0.11197770181139698,False,False,255,0.11886776266663863,False,False
mlp_a_03,a,[32],1.0,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.9536540373844198,0.9482639999009598,0.9231560534410537,0.9416913635754778,722,0.9384653000015533,136,0.12051294813193268,False,False,128,0.11394235439435423,False,False,135,0.12084157540845175,False,False
mlp_a_04,a,[32],100.0,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.9516719328710653,0.9108433924748203,0.9379362031571254,0.9334838428343369,722,1.4861782000007224,210,0.668039531099088,False,False,215,0.6668607740604914,False,False,206,0.6669757732446597,False,False
mlp_a_05,a,[32],100.0,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.9459473967563068,0.9101343268052965,0.9354359101955004,0.9305058779190345,722,0.9922147999968729,134,0.6667851589146203,False,False,137,0.6659165539658094,False,False,128,0.665973034886365,False,False
mlp_a_06,a,[64],0.01,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.9432393927836855,0.9500169018975021,0.9263925702576172,0.9398829549796016,722,1.6885421999977552,158,0.014111638555209135,False,False,184,0.012656380556889299,False,False,170,0.01403826464669548,False,False
mlp_a_07,a,[64],0.01,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.9419921134629132,0.9489374832906999,0.9235925112538071,0.9381740360024734,722,1.1496454000007361,123,0.011781218645721304,False,False,104,0.012298742901425448,False,False,127,0.01195529877892836,False,False
mlp_a_08,a,[64],1.0,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.9542648541516026,0.9491515273274552,0.918250893629794,0.9405557583696172,722,1.8552551999964635,207,0.11903901507110591,False,False,196,0.11181931009498158,False,False,188,0.11996047892714183,False,False
mlp_a_09,a,[64],1.0,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.9611718397534532,0.9490950572205052,0.9179970723873598,0.9427546564537727,722,1.0214619999969727,106,0.12871894733188513,False,False,106,0.1160517787258924,False,False,108,0.1275442571420448,False,False
mlp_a_10,a,[64],100.0,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.9490839239032293,0.9123970202557253,0.939002203585259,0.9334943825814045,722,1.4559291999976267,153,0.6669293288302439,False,False,152,0.666283316752658,False,False,151,0.6661176294925495,False,False
mlp_a_11,a,[64],100.0,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.9481735369345163,0.9082056994938672,0.9379605878791523,0.931446608102512,722,0.8827509000038845,103,0.66598754094733,False,False,91,0.6657812822625278,False,False,90,0.6655761524078233,False,False
mlp_a_12,a,"[32,16]",0.01,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.9466946232281787,0.951307358543765,0.9243724669344691,0.9407914829021374,722,1.0180839000022388,142,0.010407693747415077,False,False,113,0.010596990574594024,False,False,125,0.010385734227502804,False,False
mlp_a_13,a,"[32,16]",0.01,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.9479641243446515,0.950178218335004,0.9223717897580274,0.9401713774792276,722,0.6471690999969724,87,0.009765181086582874,False,False,80,0.009454151717236058,False,False,74,0.009985061318929787,False,False
mlp_a_14,a,"[32,16]",1.0,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.9524606049761699,0.9497525241049323,0.9173102052900353,0.9398411114570457,722,1.9965474999989965,255,0.10981096505470686,False,False,278,0.10180804275281262,False,False,228,0.11158070265295572,False,False
mlp_a_15,a,"[32,16]",1.0,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.9548574388095855,0.9497196284464618,0.908641529427224,0.9377395322277571,722,1.1743846999961534,132,0.11343494148794031,False,False,171,0.10361585218369647,False,False,147,0.11168879096272893,False,False
mlp_a_16,a,"[32,16]",100.0,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.6182572614107884,0.7345017188510463,0.6166666666666667,0.6564752156428338,722,2.111817799996061,236,0.6670024294107653,False,False,237,0.6669144559614131,False,False,235,0.6666519270827503,False,False
mlp_a_17,a,"[32,16]",100.0,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.6182572614107884,0.6182572614107884,0.6166666666666667,0.6177270631627478,722,1.2119568999987678,137,0.6659217081707857,False,False,134,0.666048375170709,False,False,133,0.6657429715872859,False,False
mlp_b_00,b,[32],0.01,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.9590517505808454,0.9482500175218109,0.972273913252778,0.9598585604518114,722,1.6746576999939862,122,0.011107186482871439,False,False,97,0.009563720875527587,False,False,108,0.009663738058026406,False,False
mlp_b_01,b,[32],0.01,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.9560283545848285,0.9481869575138471,0.973426495388917,0.9592139358291975,722,1.0177808000007644,97,0.007627432601423532,False,False,67,0.008104590899888457,False,False,72,0.00841191598370583,False,False
mlp_b_02,b,[32],1.0,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.9610392699940026,0.9529934353514751,0.9749210257984582,0.9629845770479787,722,2.7838827000014135,213,0.08393058702372451,False,False,209,0.07457800981495329,False,False,225,0.08015737203538108,False,False
mlp_b_03,b,[32],1.0,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.9570124766916779,0.9555307611240593,0.9727403716282357,0.961761203147991,722,1.7061066000023857,129,0.08427211321390495,False,False,108,0.07595825813380616,False,False,122,0.08059374491583432,False,False
mlp_b_04,b,[32],100.0,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.9711533436227879,0.9302991327123353,0.9533760247235125,0.9516095003528786,722,5.577712900005281,229,0.6427188327331124,False,False,300,0.6276843467014022,True,True,269,0.6327089435474669,False,False
mlp_b_05,b,[32],100.0,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.9711761026615189,0.93122536276037,0.9557924411528936,0.9527313021915941,722,2.6001831000030506,146,0.64278748118098,False,False,145,0.6302016143664632,False,False,171,0.6326019496640785,False,False
mlp_b_06,b,[64],0.01,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.9584137710168329,0.948993795695209,0.9710735879129742,0.9594937182083386,722,2.129742899996927,97,0.01227654995850838,False,False,79,0.0125120963649184,False,False,86,0.0126259250363696,False,False
mlp_b_07,b,[64],0.01,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.9565894632242817,0.9492858639830619,0.9706083152783014,0.9588278808285483,722,1.5103861999959918,68,0.011128807909924484,False,False,61,0.010937416095486093,False,False,61,0.01117428157511399,False,False
mlp_b_08,b,[64],1.0,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.9585198625285828,0.9534974360350383,0.9728646415264324,0.9616273133633512,722,3.3112134000039077,141,0.08261069669516474,False,False,136,0.07348261726078827,False,False,142,0.08064430112384023,False,False
mlp_b_09,b,[64],1.0,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.9583083808787761,0.9524035710898293,0.9732790106623668,0.9613303208769907,722,1.9621136000059778,77,0.08820470454391063,False,False,94,0.07416761231814975,False,False,76,0.08522800628397242,False,False
mlp_b_10,b,[64],100.0,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.9711389395964847,0.9343233911624591,0.9531065895471034,0.9528563067686825,722,4.937303600003361,178,0.6416410671771088,False,False,192,0.6284789437812424,False,False,227,0.6308300768220958,False,False
mlp_b_11,b,[64],100.0,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.9684265590488499,0.932275777979404,0.9514266338989233,0.9507096569757257,722,2.9798935999933747,103,0.6442132029338851,False,False,141,0.6284803243222576,False,False,122,0.6330591613025258,False,False
mlp_b_12,b,"[32,16]",0.01,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.9563557899460087,0.948240213672125,0.9749817776797998,0.9598592604326445,722,1.2100881000005757,88,0.009430311407779788,False,False,73,0.00965444071739533,False,False,83,0.009741364089658061,False,False
mlp_b_13,b,"[32,16]",0.01,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.952525567352349,0.9508301502350216,0.9738990140402941,0.959084910542555,722,0.8386721999995643,60,0.008790468715284966,False,False,50,0.008715955650338704,False,False,60,0.009048441280638343,False,False
mlp_b_14,b,"[32,16]",1.0,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.958887219939052,0.9542071718992792,0.9705040976486515,0.9611994964956608,722,3.738973599996825,240,0.0821216616825227,False,False,293,0.07352603415411725,False,False,266,0.07872440801919911,False,False
mlp_b_15,b,"[32,16]",1.0,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.9587454253084781,0.9587138728631228,0.9687349604245,0.9620647528653669,722,1.8214234999977634,140,0.08201170376964556,False,False,120,0.07801363215135133,False,False,140,0.08580492903769228,False,False
mlp_b_16,b,"[32,16]",100.0,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.6182572614107884,0.6182572614107884,0.6166666666666667,0.6177270631627478,722,3.8914606000034837,261,0.6667017422374166,False,False,266,0.66640690095178,False,False,260,0.6662990959176915,False,False
mlp_b_17,b,"[32,16]",100.0,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.6182572614107884,0.6182572614107884,0.6166666666666667,0.6177270631627478,722,2.2578125,151,0.6657433637004259,False,False,149,0.6658234644148519,False,False,148,0.6654564838917418,False,False
mlp_c_00,c,[32],0.01,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.9655428230145361,0.9589521869066342,0.9635539025770357,0.9626829708327355,722,1.517525500006741,69,0.008412573234281148,False,False,68,0.008425146734078327,False,False,67,0.008291450579970123,False,False
mlp_c_01,c,[32],0.01,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.9658534488701317,0.9584724216685081,0.9629518528570116,0.9624259077985505,722,0.9993393999975524,49,0.0073964514643060685,False,False,48,0.007412919848408419,False,False,47,0.007300172800404384,False,False
mlp_c_02,c,[32],1.0,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.9658080696750231,0.9616184524627562,0.9643944714634538,0.9639403312004111,722,3.663684600003762,170,0.05498205261131302,False,False,153,0.055123605953137096,False,False,164,0.05387716770812931,False,False
mlp_c_03,c,[32],1.0,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.9645656212268906,0.9562583975707022,0.9612560783383205,0.9606933657119711,722,3.6485370000009425,147,0.052475600509763125,False,False,166,0.051906287151916544,False,False,183,0.050030309230789806,False,False
mlp_c_04,c,[32],100.0,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.9562835783554728,0.9433670726571907,0.9461529166774008,0.9486011892300215,722,10.839246399998956,239,0.6482462765843953,False,False,222,0.64037696373433,False,False,242,0.6421000552765954,False,False
mlp_c_05,c,[32],100.0,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.9567792987093398,0.9388306204427949,0.9445871790338947,0.9467323660620098,722,3.426862500004063,124,0.6521222342097207,False,False,132,0.6430862149506101,False,False,114,0.6468666273164063,False,False
mlp_c_06,c,[64],0.01,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.96253331277822,0.9664432126287117,0.9641048949340616,0.9643604734469978,722,2.6728494000053615,53,0.011523599860244496,False,False,53,0.011679123949706762,False,False,53,0.011540012876659974,False,False
mlp_c_07,c,[64],0.01,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.9621525574977405,0.9668230723966602,0.9639003634290192,0.9642919977744734,722,1.999508799999603,40,0.010669225546421043,False,False,41,0.010672072088012926,False,False,40,0.010597635821143179,False,False
mlp_c_08,c,[64],1.0,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.9633306539004958,0.9599387997780922,0.9649331869379907,0.9627342135388596,722,8.500085399995442,154,0.0505997444369979,False,False,177,0.04960197842343711,False,False,192,0.04842036904060003,False,False
mlp_c_09,c,[64],1.0,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.9570765555054231,0.9655274726578891,0.9629847912731058,0.9618629398121393,722,5.0384847000023,117,0.054299026209604376,False,False,83,0.06346153792999348,False,False,98,0.058915893524009534,False,False
mlp_c_10,c,[64],100.0,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.957545503225489,0.943436201526683,0.9448013563451971,0.9485943536991229,722,8.300986399997782,154,0.6481078666970924,False,False,149,0.6394076931084411,False,False,177,0.6403224489806255,False,False
mlp_c_11,c,[64],100.0,0.001,300,False,64,0.0001,adam,relu,outer_fold_0,0.9583150452793003,0.9408369561591626,0.9416062784041724,0.9469194266142118,722,3.290531300001021,100,0.65201258779717,False,False,101,0.6431135151367432,False,False,105,0.6442261954503341,False,False
mlp_c_12,c,"[32,16]",0.01,0.0005,300,False,64,0.0001,adam,relu,outer_fold_0,0.9553283152031363,0.9591509344148972,0.9551429145284045,0.956540721382146,722,1.1570891000010306,59,0.009228027730636515,False,False,59,0.009306269934240911,False,False,61,0.009226118935918513,False,False
