threshold,accuracy,macro_f1,precision,relevant_recall,specificity,tp,tn,fp,fn,medical_fn,medical_n,medical_recall,referral_fraction,referrals,feasible_recall_first,selected_default_0_5,selected_balanced_macro_f1,selected_recall_first
0.0,0.6168327796234773,0.3815068493150685,0.6168327796234773,1.0,0.0,557,0,346,0,0,334,1.0,1.0,903,True,False,False,False
8.728019906811824e-07,0.6168327796234773,0.3815068493150685,0.6168327796234773,1.0,0.0,557,0,346,0,0,334,1.0,1.0,903,True,False,False,False
1.0319556622562231e-06,0.6179401993355482,0.3846501788560717,0.6175166297117517,1.0,0.002890173410404624,557,1,345,0,0,334,1.0,0.9988925802879292,902,True,False,False,False
1.0811368156282697e-06,0.6190476190476191,0.3877773047632562,0.6182019977802442,1.0,0.005780346820809248,557,2,344,0,0,334,1.0,0.9977851605758582,901,True,False,False,False
1.677005570854817e-06,0.6201550387596899,0.3908883701447217,0.6188888888888889,1.0,0.008670520231213872,557,3,343,0,0,334,1.0,0.9966777408637874,900,True,False,False,False
4.681703103415202e-06,0.6212624584717608,0.3939835164835165,0.6195773081201335,1.0,0.011560693641618497,557,4,342,0,0,334,1.0,0.9955703211517165,899,True,False,False,False
4.8536026042711455e-06,0.6223698781838317,0.3970628836608218,0.6202672605790646,1.0,0.014450867052023121,557,5,341,0,0,334,1.0,0.9944629014396457,898,True,False,False,False
5.491494448506273e-06,0.6234772978959026,0.400126609978742,0.620958751393534,1.0,0.017341040462427744,557,6,340,0,0,334,1.0,0.9933554817275747,897,True,False,False,False
6.085445875214646e-06,0.6245847176079734,0.4031748321827069,0.6216517857142857,1.0,0.02023121387283237,557,7,339,0,0,334,1.0,0.9922480620155039,896,True,False,False,False
6.403416136890883e-06,0.6256921373200443,0.40620768548349445,0.6223463687150838,1.0,0.023121387283236993,557,8,338,0,0,334,1.0,0.991140642303433,895,True,False,False,False
6.823598141636467e-06,0.6267995570321152,0.409225303578882,0.6230425055928411,1.0,0.02601156069364162,557,9,337,0,0,334,1.0,0.9900332225913622,894,True,False,False,False
6.963166470086435e-06,0.627906976744186,0.4122278186749322,0.6237402015677491,1.0,0.028901734104046242,557,10,336,0,0,334,1.0,0.9889258028792912,893,True,False,False,False
