config_id,max_depth,min_samples_leaf,max_features,class_weight,forest_params,n_estimators
rf_00,8.0,12,sqrt,,"{""class_weight"":null,""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_01,8.0,12,sqrt,balanced,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_02,8.0,12,0.1,,"{""class_weight"":null,""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_03,8.0,12,0.1,balanced,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_04,8.0,4,sqrt,,"{""class_weight"":null,""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_05,8.0,4,sqrt,balanced,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_06,8.0,4,0.1,,"{""class_weight"":null,""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_07,8.0,4,0.1,balanced,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_08,8.0,1,sqrt,,"{""class_weight"":null,""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_09,8.0,1,sqrt,balanced,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_10,8.0,1,0.1,,"{""class_weight"":null,""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_11,8.0,1,0.1,balanced,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_12,,12,sqrt,,"{""class_weight"":null,""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_13,,12,sqrt,balanced,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_14,,12,0.1,,"{""class_weight"":null,""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_15,,12,0.1,balanced,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_16,,4,sqrt,,"{""class_weight"":null,""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_17,,4,sqrt,balanced,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_18,,4,0.1,,"{""class_weight"":null,""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_19,,4,0.1,balanced,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_20,,1,sqrt,,"{""class_weight"":null,""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_21,,1,sqrt,balanced,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_22,,1,0.1,,"{""class_weight"":null,""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
rf_23,,1,0.1,balanced,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",200
